,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
115,1981,IA,Iowa,2897000,5915,76,389.0,,1554,3896,130723,30925,93333,6465,,272887
116,1981,ID,Idaho,959000,2717,43,198.0,,362,2114,40733,11255,27423,2055,,86702
117,1981,IL,Illinois,11455000,90781,1205,3716.0,,42752,43108,609767,173142,366696,69929,,1397380
118,1981,IN,Indiana,5466000,18672,388,1616.0,,7050,9618,229472,63887,147038,18547,,494672
119,1981,KS,Kansas,2381000,8796,151,733.0,,2611,5301,119880,36768,77039,6073,,256619
120,1981,KY,Kentucky,3661000,10599,308,766.0,,3687,5838,118690,38893,71194,8603,,257812
121,1981,LA,Louisiana,4305000,27478,673,1782.0,,8698,16325,199295,61756,121955,15584,,451764
122,1981,MA,Massachusetts,5770000,36273,210,1580.0,,15633,18850,300428,95080,147691,57657,,671822
123,1981,MD,Maryland,4261000,37800,421,1654.0,,18085,17640,241625,70740,152405,18480,,557196
124,1981,ME,Maine,1132000,2214,36,145.0,,368,1665,45820,14081,29545,2194,,95923
125,1981,MI,Michigan,9201000,59058,861,4366.0,,23688,30143,571582,171331,341805,58446,,1256914
126,1981,MN,Minnesota,4090000,9344,85,1056.0,,4266,3937,184387,52253,121834,10300,,386406
127,1981,MO,Missouri,4938000,26675,516,1465.0,,10629,14065,237575,78173,140567,18835,,527035
128,1981,MT,Montana,792000,2004,27,175.0,,302,1500,37746,7651,27874,2221,,79325
129,1981,NC,North Carolina,5951000,25986,541,1351.0,,4809,19285,243012,79545,151679,11788,,536645
130,1981,ND,North Dakota,658000,444,15,57.0,,85,287,19237,3294,14859,1084,,39305
131,1981,NE,Nebraska,1576000,2861,49,323.0,,1115,1374,62977,14383,45324,3270,,131353
132,1981,NH,New Hampshire,935000,1375,27,154.0,,335,859,39034,11090,25692,2252,,80664
133,1981,NJ,New Jersey,7401000,46674,542,2374.0,,24761,18997,410693,128274,231846,50573,,912360
134,1981,NM,New Mexico,1327000,8913,151,628.0,,1868,6266,73369,21405,47252,4712,,163936
135,1981,NV,Nevada,845000,7575,148,548.0,,3870,3009,65027,23046,36955,5026,,144656
136,1981,NY,New York,17594000,188178,2166,5479.0,,120344,60189,1026757,350422,539486,136849,,2424391
137,1981,OH,Ohio,10776000,53509,799,3339.0,,25529,23842,533498,160951,326770,45777,,1170675
138,1981,OK,Oklahoma,3098000,13223,279,1091.0,,3574,8279,136637,49220,74460,12957,,298629
139,1981,OR,Oregon,2647000,12671,117,1105.0,,4780,6669,173596,52067,112518,9011,,371429
140,1981,PA,Pennsylvania,11864000,44104,729,2662.0,,22137,18576,392872,122372,226701,43799,,871290
141,1981,RI,Rhode Island,952000,4205,40,170.0,,1257,2738,51504,15755,27525,8224,,111248
142,1981,SC,South Carolina,3166000,20275,330,1148.0,,3805,14992,148127,50520,88887,8720,,335656
143,1981,SD,South Dakota,685000,718,12,79.0,,122,505,19922,4348,14587,987,,41201
144,1981,TN,Tennessee,4610000,19019,448,1735.0,,7916,8920,179737,63811,100526,15400,,395777
145,1981,TX,Texas,14755000,78560,2446,6821.0,,28528,40765,814163,275978,454879,83306,,1778625
146,1981,UT,Utah,1516000,4527,50,431.0,,1286,2760,82643,19326,58855,4462,,173909
147,1981,VA,Virginia,5426000,17456,464,1478.0,,7229,8285,235984,63350,161678,10956,,505402
148,1981,VT,Vermont,515000,659,22,170.0,,142,325,25404,8033,15860,1511,,51956
149,1981,WA,Washington,4212000,18839,213,2115.0,,5475,11036,265135,79696,171994,13445,,565833
