year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
1982,LA,Louisiana,4362000,29185,698,1740.0,,9275,17472,202489.0,62151.0,125701,14637,,311995.0
1982,MA,Massachusetts,5781000,33031,219,1464.0,,12359,18989,285140.0,82212.0,146933,55995,,419591.0
1982,MD,Maryland,4265000,36254,432,1596.0,,15377,18849,220174.0,60547.0,142903,16724,,336256.0
1982,ME,Maine,1133000,1847,24,152.0,,345,1326,41884.0,11862.0,27863,2159,,56943.0
1982,MI,Michigan,9109000,59806,827,4246.0,,24699,30034,558195.0,165155.0,330031,63009,,814017.0
1982,MN,Minnesota,4133000,9062,95,938.0,,4188,3841,175048.0,48855.0,116375,9818,,236901.0
1982,MO,Missouri,4951000,25078,479,1283.0,,9554,13762,219888.0,68881.0,134383,16624,,328088.0
1982,MT,Montana,801000,1801,31,119.0,,265,1386,32908.0,6759.0,24079,2070,,42885.0
1982,NC,North Carolina,6019000,26865,545,1322.0,,5168,19830,246593.0,78787.0,156701,11105,,372620.0
1982,ND,North Dakota,670000,414,5,66.0,,85,258,17328.0,3074.0,13314,940,,21079.0
1982,NE,Nebraska,1586000,3641,31,329.0,,982,2299,59019.0,12867.0,43331,2821,,77857.0
1982,NH,New Hampshire,951000,1187,21,154.0,,322,690,35229.0,8987.0,24115,2127,,46114.0
1982,NJ,New Jersey,7438000,45175,482,2149.0,,22880,19664,377016.0,106418.0,223978,46620,,548755.0
1982,NM,New Mexico,1359000,9982,158,656.0,,1715,7453,79816.0,22135.0,53402,4279,,119544.0
1982,NV,Nevada,881000,7096,120,542.0,,3697,2737,62512.0,21256.0,36279,4977,,93721.0
1982,NY,New York,17659000,174833,2013,5159.0,,107843,59818,967369.0,295245.0,534244,137880,,1499278.0
1982,OH,Ohio,10791000,47126,676,3223.0,,19809,23418,485468.0,141316.0,302962,41190,,698004.0
1982,OK,Oklahoma,3177000,14103,344,1180.0,,4218,8361,151814.0,50956.0,85326,15532,,225578.0
1982,OR,Oregon,2649000,12529,136,1057.0,,4433,6903,161444.0,47410.0,106061,7973,,228422.0
1982,PA,Pennsylvania,11865000,42767,678,2448.0,,20806,18835,366903.0,106867.0,220623,39413,,536050.0
1982,RI,Rhode Island,958000,3849,35,186.0,,1099,2529,47539.0,13414.0,27077,7048,,67366.0
1982,SC,South Carolina,3203000,23061,348,1242.0,,3921,17550,148657.0,47752.0,92009,8896,,237368.0
1982,SD,South Dakota,691000,684,19,79.0,,118,468,17592.0,3885.0,12889,818,,22648.0
1982,TN,Tennessee,4651000,19586,452,1651.0,,8173,9310,185692.0,59934.0,110316,15442,,274974.0
1982,TX,Texas,15280000,88178,2466,6816.0,,33618,45278,874799.0,285967.0,501727,87105,,1296688.0
1982,UT,Utah,1554000,4440,53,369.0,,1344,2674,78451.0,17202.0,57341,3908,,102820.0
1982,VA,Virginia,5491000,16970,405,1366.0,,6708,8491,216713.0,53457.0,153148,10108,,296036.0
1982,VT,Vermont,516000,655,12,180.0,,119,344,23555.0,6080.0,16160,1315,,30646.0
1982,WA,Washington,4245000,17251,185,1947.0,,5003,10116,249429.0,71322.0,166188,11919,,348303.0
1982,WI,Wisconsin,4765000,9077,148,680.0,,3393,4856,202447.0,46564.0,147177,8706,,263092.0
1982,WV,West Virginia,1948000,3405,102,302.0,,970,2031,45514.0,13985.0,27962,3567,,65037.0
1982,WY,Wyoming,502000,1527,46,136.0,,172,1173,22589.0,4432.0,16903,1254,,29767.0
1983,,,233791994,1258087,19308,78918.0,,506567,653294,10850543.0,3129851.0,6712759,1007933,,15911083.0
1983,AK,Alaska,479000,2940,66,486.0,,465,1923,25889.0,5720.0,17085,3084,,36538.0
1983,AL,Alabama,3959000,16471,364,931.0,,3895,11281,145890.0,42485.0,94279,9126,,216491.0
1983,AR,Arkansas,2328000,6930,178,586.0,,1614,4552,74563.0,22380.0,48140,4043,,108603.0
1983,AZ,Arizona,2963000,14642,213,1241.0,,3923,9265,174740.0,49440.0,114721,10579,,248300.0
1983,CA,California,25174000,194491,2639,12093.0,,85826,93933,1486487.0,460460.0,867123,158904,,2238010.0
1983,CO,Colorado,3139000,14955,202,1316.0,,3968,9469,193070.0,48101.0,133271,11698,,265797.0
1983,CT,Connecticut,3138000,11767,129,627.0,,6296,4715,144437.0,39988.0,89421,15028,,201036.0
1983,DC,District of Columbia,623000,11933,183,406.0,,7698,3646,45843.0,12483.0,29405,3955,,74088.0
1983,DE,Delaware,606000,2746,25,229.0,,699,1793,30378.0,7414.0,20908,2056,,42356.0
